goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=call_ref-12     	       5	      3717 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3567 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      4667 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3725 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3842 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3833 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3267 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3550 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      4208 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2933 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3225 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2883 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3175 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3425 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2950 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3675 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2842 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3342 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3417 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3225 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3658 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2842 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3625 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2933 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3342 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      4075 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      6475 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2892 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3317 ns/op	     768 B/op	      10 allocs/op
